name,bftId,ctype,appliesTo,effect,description
Confounded votes are excluded from scoring,crit-8e1563f9,Methodology,Roll-call analysis,Data quality,"Of 55 Israel-related roll calls, only 30 are CLEAN tests where a NO vote is a real signal. EXCLUDED as confounded: H.R.7217 (Feb 2024 -- a standalone Israel bill widely read as a maneuver to kill the bipartisan Senate package; Democratic NOs were about the maneuver); H.R.6090 Antisemitism Awareness Act (First Amendment objections from BOTH left and right -- Massie, Greene, Gaetz voted no on 1A grounds); H.Res.894 (92 Democrats voted PRESENT objecting to equating anti-Zionism with antisemitism, not to condemning antisemitism); the three Tlaib censure votes (process objections from members who are themselves pro-Israel); and all rule/previous-question votes (pure party-line noise). H.Res.183 (2019) is INVERTED: its 23 NO votes were Republicans who thought the post-Omar resolution too weak -- a NO there is arguably PRO-Israel."
Voting records find ENEMIES; they cannot rank ALLIES,crit-d683d3f1,Methodology,Political tab; Alliance Score,Scoring limit,"MEASURED FINDING, and it should shape strategy. 236 legislators have a perfect 100% record across 20+ clean Israel votes. 50 of our own 96 political entries are 100% voters, Dan Crenshaw among them at 21/21. Pro-Israel measures pass 420-9. Therefore a perfect voting record is the NORM, not a distinction -- it confirms an ally but does not differentiate one from another. All discriminating power in roll-call data is in the DEVIATIONS. Corollary: do not spend Alliance Score bandwidth on vote-based ally ranking; use votes as a disqualifier and a floor, and rank allies on reach, charisma, and willingness to spend political capital -- which is what Johnnie's 'less sentimental, more substantive' standard actually asks for."
"Votes measure position, NOT conduct -- weight conduct higher",crit-d5447fa1,Flag Rule,All public officials,Overrides a clean voting record,"A pro-Israel voting record does NOT clear someone whose conduct is hostile. Measured examples: Paul Gosar votes 93.1% pro-Israel yet has appeared at AFPAC alongside Nick Fuentes; Matt Gaetz 94.7%; Marjorie Taylor Greene 87.5% on a lifetime average that is backloaded with older votes while her recent trajectory is sharply hostile and aligned with the Tucker/Fuentes current this project exists to counter. Roll-call data is a floor, not a clearance. Where votes and conduct diverge, WEIGHT THE CONDUCT -- it is the better predictor of where someone lands next."
Never keyword-search bill titles to find Israel votes,crit-e2e1d944,Methodology,All government-data sweeps,Prevents false negatives,"A hard-won lesson worth preserving. Keyword-matching Clerk vote descriptions for 'Israel'/'Iron Dome' across 6,332 roll calls returned 54 hits and MISSED THE IRON DOME VOTE ITSELF -- the most important Israel vote of the decade. The Clerk records H.R.5323 by its formal long title, 'Making supplemental appropriations for the fiscal year ending September 30, 2022', which contains neither 'Israel' nor 'Iron Dome', and the index truncates it. RULE: always cross-check keyword sweeps against a hand-curated list of known bills by NUMBER. An unknown number of Israel provisions remain hidden inside generically-titled appropriations and NDAA votes -- see the backlog."
"Resolve legislator identity by bioguide ID, never by name",crit-294acea5,Methodology,All congressional data,Prevents identity collisions,"House Clerk XML records members by last name with state disambiguators only ('Garcia (IL)', 'Johnson (GA)'). Naive substring matching against full names produced real, dangerous collisions in this database: 'Mike Garcia' (R-CA) matched Chuy Garcia (D-IL); Speaker 'Mike Johnson' (R-LA) matched Hank Johnson (D-GA); 'Mark Green' (R-TN) matched Al Green (D-TX); 'Lance Gooden' (R-TX) matched Bob Good (R-VA). Each would have imported a hostile record onto an ally. RULE: join on the bioguide ID (the name-id attribute in Clerk XML), resolved against the unitedstates/congress-legislators dataset. Never match on name."
"Verification means running it, not counting braces",crit-4dbcdf10,Methodology,Every change to this file,Data integrity,"Claude spent this project using brace/bracket/backtick counting as a substitute for verification, on the belief that no JavaScript engine was available. That belief was never tested and was FALSE -- macOS ships JavaScriptCore (jsc). The cost of the untested assumption: three syntax errors reached production and the live app was fully broken. Balanced braces say nothing about a broken string literal. STANDING RULE: run python3 tools/validate.py (real parse + SEED_DATA execution via jsc) before every deploy; tools/deployify.py now enforces it and aborts on failure. GENERAL PRINCIPLE, which has now cost this project twice: TEST the limit before asserting it. The same untested-assumption error previously led Claude to claim no social-platform access, when YouTube and TikTok were in fact reachable -- which had been hiding a ~50x audience error on Lance Johnston."
Never regex-patch JS source across quoted fields,crit-38fcac6f,Methodology,All batch edits to this file,Prevents data corruption,"The pattern field:""[^""]*"" is UNSAFE against this dataset and must not be used. [^""]* is blind to escaped quotes (\""), so on any entry containing an escaped quote the match runs past the field boundary and a substitution overwrites unrelated content -- silently. This is not hypothetical: it corrupted the MilkBarTV entry and broke production. 57 entries currently contain escaped quotes and are exposed to it. Prefer: parse the row, mutate the value as data, re-serialize with a real serializer (json.dumps produces valid JS string literals and handles quotes and accents correctly)."
SOURCE HIERARCHY: primary filings first; Wikipedia is NOT acceptable,crit-a82ebc5e,Data Ethics,Every sourced claim in this database,Source quality gate,"Andy, 16 Jul 2026: 'you cant rely on wikipedia data it is often corrupted, especially about issues concerning Israel.' He is right, and it is DOCUMENTED, not a hunch. Wikipedia's Arbitration Committee topic-banned eight editors over Israel-Palestine editing in Jan 2025 (six pro-Palestine, two pro-Israel), and banned three others in Dec 2024 for canvassing. The ADL published 'Editing for Hate', documenting a coordinated campaign; the advocacy group Tech for Palestine recruited volunteers for systematic edits and its lead editor received an indefinite site ban. Most tellingly: Wikipedia editors voted in June 2024 to declare THE ADL ITSELF an 'unreliable source' on Israel-Palestine. Citing Wikipedia in a BFT artifact is a liability -- a donor or a hostile reader can dismiss the claim by attacking the source, and on Israel topics specifically the source is genuinely contested. REQUIRED HIERARCHY, best first: (1) PRIMARY legal/official records -- SEC EDGAR filings (data.sec.gov, free, no key, legally binding), House Clerk roll-call XML, congress.gov, court filings, official government registries; (2) the subject's OWN publication -- company IR page, official press release, the person's own post or video; (3) established outlets with named reporters and a corrections policy; (4) Wikipedia -- ONLY as a navigational aid to find a real source, NEVER as the citation itself. PROVEN 16 Jul 2026: re-sourcing Israeli Tech from Wikipedia to SEC filings did not merely swap URLs -- it CHANGED THE FACTS. Amdocs turned out to be incorporated in the United Kingdom (Guernsey), not Israel. SentinelOne and Lemonade are Delaware corporations. JFrog and Taboola are Israeli-incorporated but US-headquartered. None of that was visible from the Wikipedia summaries."
Israeli Tech category rule: incorporation vs HQ vs founders,crit-52ef5e22,Network Definition,Israeli Tech Ecosystem tab,Category membership,"RESOLVED FROM SEC PRIMARY FILINGS, 16 Jul 2026 -- the category was previously implicit and therefore wrong in places. The filings report TWO distinct legal facts, and they disagree more often than expected. ISRAELI-INCORPORATED AND ISRAEL-HQ (9): Check Point, NICE, Tower Semiconductor, Fiverr, Cellebrite, Playtika, Global-e, Similarweb, Nova. ISRAELI-INCORPORATED BUT US-HQ (2): JFrog (Sunnyvale), Taboola (New York). NOT ISRAELI-INCORPORATED (4): Amdocs (United Kingdom/Guernsey), SolarEdge (Delaware, but HQ Herzliya), SentinelOne (Delaware, HQ Mountain View), Lemonade (Delaware, HQ New York). RECOMMENDATION FOR ANDY: keep all of them, but stop pretending the category is one thing. The HYBRIDS are the most strategically valuable entries here, not the impurities -- a company that is Israeli-incorporated with a US headquarters, or US-incorporated with Israeli R&D, IS the Israeli-talent/American-distribution bridge Andy described in the Johnnie interview. Index on the bridge, not on passport purity. The two exits prove the point: CyberArk into Palo Alto, Wiz into Google."
'No podcast' is the WRONG filter for Johnnie's leg 1,,Methodology,Nurture; the podcast-target roster,Redefines the target list,"Andy, 16 Jul 2026: 'Nurture is one of the most significant categories... johnnie emphasized that evangelicals are under indexing in podcasting so I think a top goal will be identifying christian zionists with long-form audio-video potential.' The existing filter (podcastStatus = 'No podcast (TARGET)', 61 people) does not survive contact with the facts, for TWO separate reasons. (1) IT IS FACTUALLY WRONG: verified against the Apple Podcasts API on 16 Jul 2026, at least 13 of the 61 ALREADY HOST ACTIVE PODCASTS -- Riley Gaines (The Riley Gaines Show, 196 eps, Fox), Ben Ferguson (2,032 eps), Brandon Tatum (The Officer Tatum Show), Nick Shirley, CJ Pearson, Jentezen Franklin (361), Allen Jackson (796), Larry Huch (553), Joni Lamb (575), Tony Perkins (201), Susan Michael (287), Laurie Cardoza-Moore, Joshua Carr (568). Handing Johnnie a 'move these people into podcasting' list led by a Fox host with 196 episodes would be humiliating. (2) IT IS CONCEPTUALLY WRONG, which matters more. Evangelicals do NOT under-index in SERMON podcasting -- that genre is saturated (Franklin 361, Jackson 796, Huch 553, Lamb 575). They under-index in CONVERSATIONAL long-form: the Rogan / Lex / Shapiro / Theo Von format. A sermon is broadcast; a podcast is conversation. Those are different skills and different products. THE FILTER SHOULD BE: proven long-form delivery + significant audience + NOT YET in conversational long-form + available. Not merely 'has no RSS feed'."
Long-form A/V potential: the scoring rubric,,Scoring,Nurture roster candidates,Ranks podcast targets,"Rank on these, highest weight first. (1) PROVEN LONG-FORM DELIVERY -- do they already hold an audience for 30+ minutes anywhere? Sermons, lectures, streams, teaching, standup. This is the single strongest signal and the most under-exploited: A PASTOR ALREADY DELIVERS 40 MINUTES TO CAMERA EVERY WEEK, with a built-in audience. The gap is format and distribution, not ability. Johnnie came from exactly that world (Liberty). (2) CONVERSATIONAL RANGE -- can they be INTERVIEWED, not just deliver? Look for guest appearances on other shows. A preacher who cannot do dialogue will not survive the format. Wesley Huff is the proof case: his Rogan appearance was the whole breakout, and it was conversation, not preaching. (3) AUDIENCE ON THE WRONG PLATFORM -- big on TikTok/IG/X (short-form) with no long-form home. That IS the arbitrage. Allie Schnacky (4M+ TikTok) is the archetype. (4) AVAILABILITY -- this disqualifies most of the current list. A sitting Speaker of the House, a sitting Senator, an 83-year-old megachurch founder, or someone running a $700M NGO is NOT going to start a podcast. Screen for career stage: building and hungry, not established and busy. (5) US/ENGLISH AUDIENCE -- per the audience-geography criterion, which outranks nationality. The current list carries Japanese, Hungarian, Kenyan, Congolese and Latin American pastors: real allies, real networks, but not answers to 'evangelicals under-index in AMERICAN podcasting'. Keep them as allies; remove them from THIS list. (6) A 'WHY NOW' -- a book, a controversy, a viral moment, a platform shift. Podcasts launch off momentum."
"Podcast status must be VERIFIED, never asserted",,Methodology,Every podcast/roster claim,Data quality,"The Apple Podcasts search API is free, needs no key, and returns show name, host, episode count and last-release date: https://itunes.apple.com/search?media=podcast&term=NAME&country=US -- use it before tagging anyone. CAUTION, learned the hard way on 16 Jul 2026: automated name-matching FAILS IN BOTH DIRECTIONS and cannot be trusted unattended. Loose matching produced false positives -- 'Mike Johnson' matched a cybersecurity podcast and a Baptist church, 'Tim Scott' matched a Walt Disney World fan podcast, and 'Manny Pacquiao - Audio Biography' is a show ABOUT him, not BY him. Tightening it to require the person as credited artist then produced false NEGATIVES -- it lost Riley Gaines and Ben Ferguson, because their shows are credited to FOX, not to them. There is no regex that solves this. Verify each candidate by eye. Record the show, episode count, last-release date and the date checked."
DORMANT beats ABSENT as a podcast target,,Inclusion Signal,Nurture roster,Prioritisation,"A dormant podcast is a BETTER leg-1 target than no podcast at all, and this inverts the intuition. Someone who ran a show and stopped has already proven they can do it, already has a feed and back catalogue, and already built some audience -- they need a reason and backing to restart, not persuading that they are capable. Someone who never started is an unproven bet on latent ability. Verified example: Allie Schnacky hosted 'Keep It Real' (44 episodes, last 27 Jul 2025) alongside 4M+ TikTok followers. She is not a 'can she do it?' question, she is a 'why did she stop?' question -- and that is a far cheaper thing for BFT to fix. Sweep the full roster for dormant feeds; they are the cheapest wins on the board."
ROSTER GATES: genuine loyalty AND real talent. No quota.,,Scoring,Nurture roster; every podcast/seed candidate,"Two hard gates, then rank","Andy, 16 Jul 2026, correcting the framing: '20 is just a number we want as many as possible as long as they are real loyal allies of Israel/The Jews and are really talented.' SO: Johnnie's '~20' is NOT a target and must not be optimised for. It is a floor on ambition, not a cap. The list is capped only by the two GATES, which are pass/fail and non-negotiable. GATE 1 -- GENUINE LOYALTY. Not aligned, not useful, not anti-woke: LOYAL. GATE 2 -- REAL TALENT. Actually good, not merely on-side. A candidate must pass BOTH. Everything Claude previously weighted highly -- availability, US/English audience, podcast status, career stage -- is DOWNSTREAM RANKING, not a gate. A loyal, talented person who is hard to reach is still on the list; a convenient, available mediocrity is not. Scale the list as far as the gates allow."
"GATE 1 -- Loyalty is measured by COST PAID, not by statements",,Scoring,Every ally claim in the database,Separates real allies from opportunists,"THE UNIFYING TEST, and it already underlies several criteria Andy set separately. Statements are cheap and everyone makes them; the question is what it COST them. Costly signals cannot be faked at scale. STRONG LOYALTY SIGNALS (rank by how much it cost): spoke up when it was UNPOPULAR IN THEIR OWN MILIEU (the right's drift makes this expensive now -- Seth Dillon attacking Candace Owens and Tucker Carlson is the model, and Andy flagged it for exactly this reason); TOOK INCOMING for it -- being attacked by Tucker/Candace/Fuentes/Sneako is itself proof of cost, which is why the attack-them boost criterion exists; VOLUNTARY, NOT PAID (Andy's existing rule: an unpaid voluntary stand outranks what is likely a paid speaker engagement); SUSTAINED over years, not a single post; PRE-OCT-7 -- anyone pro-Israel BEFORE it was a live political identity is vastly more credible than a post-Oct-7 convert; PRINCIPLED/THEOLOGICAL foundation rather than transactional. OPPORTUNIST SIGNALS (fail the gate): only arrived once it paid; paid by pro-Israel institutions to say it; never takes a cost; swings with audience sentiment; anti-woke or anti-Islam but never actually PRO-Israel -- this is the 'enemy of my enemy' trap Andy explicitly warned about, and it is the commonest failure mode on this list. OPERATIONAL RULE: for every roster candidate, record WHAT IT COST THEM. If the answer is 'nothing', they have not passed Gate 1 -- they are unproven, not loyal. Unproven belongs in Nurture as a watch item, not on the roster."
"GATE 2 -- Talent is measured by holding an audience, not by alignment",,Scoring,Nurture roster,Prevents an aligned-but-mediocre roster,"Andy: 'really talented'. And earlier, on ranking: 'charisma, intelligence - actual influence - should be the greatest factor - Ollie Anisfeld is a great example.' The failure mode this gate exists to prevent is the one that has sunk every previous well-funded effort in this space: a roster of people who agree with you and cannot hold an audience. Donors have already pushed back on BFT that they 'put a lot of money into evangelicals' without the returns -- an aligned-but-boring roster is precisely how that money disappeared. Alignment is the price of entry, not the product. MEASURE: (a) can they hold attention for 30+ minutes -- sermons, lectures, streams, standup all count as evidence; (b) CONVERSATIONAL RANGE -- can they be INTERVIEWED, not just deliver? Guest appearances on other people's shows are the tell, and Wesley Huff's Rogan appearance is the existence proof; (c) do they grow an audience on their own merits, not via institutional distribution; (d) charisma and humour -- Johnnie's own point that the Babylon Bee outperforms by ~30% purely by being funny and smart. Fact-checking alone loses. HARD TEST: would you watch them if you disagreed with them? If not, they fail Gate 2 no matter how loyal."
THE PAID-INFLUENCE THREAT vindicates the cost-paid gate,,Data Ethics,Every influencer/ally in this database,Justifies Gate 1; screens paid amplifiers,"Source: TIME, Eric Cortellessa, 13 Jul 2026 -- 'Trump's Ex-Campaign Manager Is Running An Israeli Influence Operation Targeting the MAGA Base' (https://time.com/article/2026/07/13/brad-parscale-israel-influence-operation/). FARA filings show the ad agency Havas hired Brad Parscale's firm Clock Tower X to run a digital campaign FOR THE STATE OF ISRAEL: $1.5M/month, 100 content pieces/month, 80% aimed at Gen Z, 50M+ impressions/month. A related Parscale firm, Influenceable, paid creators a $2,250 base + $1 per 1,000 views (up to ~$4,250/post) via private group chats with 'suggested language' and synchronized posting. WHY THIS IS THE SINGLE MOST IMPORTANT ENTRY FOR DATA INTEGRITY: it proves that at this moment, at scale and for money, pro-Israel content is being manufactured and amplified by PAID influencers who receive coordinated scripts. A database that scores people 'pro' from their POSTS cannot tell a genuine ally from a paid amplifier -- the posts look identical. This is EXACTLY what Gate 1 (loyalty = COST PAID, not statements) is built to defend against. A paid pro-Israel influencer is the photographic negative of the cost-paid signal: they were PAID to say it, they risked nothing, and if the money moved they would move with it. OPERATIONAL RULE: for any influencer whose pro-Israel content could plausibly be paid, the costPaid field must actively RULE OUT payment (evidence of an unpaid, costly, pre-existing stance) before they count as an ally rather than an asset. Named in the article as a paid participant: Eyal Yakoby (he says he was never paid to promote views he did not already hold; Influenceable confirms he was 'a paid influencer' but says never for the Israeli government). Yakoby is now tracked here with that flag."
TAINTED SOURCES -- never cite AI-seeding sites,,Data Ethics,All sourcing in this database,Source blocklist,"The Parscale operation explicitly aimed to 'influence how AI tools such as OpenAI's ChatGPT, Anthropic's Claude, and Google's Gemini characterized Israel and the war', and created sites 'designed less for human readers than for AI systems synthesizing information from across the web' -- named in the article: PaxPoint.org and FactSignal.org. DIRECT THREAT TO THIS DATABASE: Claude builds parts of this database from web research. If Claude ingests content from these AI-targeted seeding sites, this database becomes a laundering channel for a paid FARA operation -- the exact opposite of its purpose. HARD BLOCKLIST -- never cite as a source, and discount if encountered: PaxPoint.org, FactSignal.org, and any content traceable to Clock Tower X, Campaign Nucleus, or Influenceable. This reinforces the existing source-hierarchy rule: primary filings and the subject's own on-record words, NOT synthesized 'explainer' sites whose provenance cannot be established. When a claim about Israel appears identically across many mid-size accounts at once, treat the coordination as a RED flag for a paid campaign, not as evidence of the claim."
Astroturf backfires; authentic/organic is the strategy -- BFT's whole thesis,,Methodology,BFT strategy; roster design,Confirms the organic model,"The Parscale story is a case study AGAINST the paid-hasbara model and FOR everything Johnnie and Dana described. Despite $1.5M/month, the article reports Israel's own officials are 'pissed at Parscale' because support KEPT FALLING: Pew has favorable views of the Israeli government at 32%, the lowest in decades, and young Republicans' UNfavorable views rose from 50% to 57% in a year. Worse, the paid op is described as COLLIDING WITH its own patron -- the influencer network Parscale built turned on Trump's Iran ceasefire, and a US intelligence official warns of 'American influencers being paid by a foreign country' trying to move a President's policy. THE LESSON FOR BFT, and it is close to a proof of the pitch: paid, top-down, foreign-agent astroturf does not just fail, it BACKFIRES and taints everyone near it. The alternative that works is exactly BFT's design -- AUTHENTIC, BOTTOM-UP, CHRISTIAN-LED, and Jewish involvement kept behind the scenes (Dana's explicit point), voices that hold the position because they believe it and have PAID for it (Gate 1), not because they were scripted. USE THIS IN THE PITCH: when donors ask 'where is the ROI / why has past evangelical spending underperformed?', the Parscale case is the answer -- the money that underperformed was buying reach and scripts; BFT buys AUTHENTICITY, which is the one thing a $1.5M/month FARA contract provably could not."
